"IP","MAC","Vendor"
"192.169.100.1","30:DE:4B:87:55:FB","TP-Link Limited"
"192.169.100.11","50:C7:BF:CE:B0:32","TP-Link Technologies"
"192.169.100.13","D4:CA:6D:E0:08:9D","Routerboard.com"
"192.169.100.14","6C:3B:6B:0E:53:43","Routerboard.com"
"192.169.100.31","6C:4B:90:81:0A:1E","LiteON"
"192.169.100.38","30:9C:23:7C:AD:AC","Micro-Star Intl"
"192.169.100.60","5E:C6:A3:97:41:53",""
"192.169.100.61","A4:A9:30:79:3C:E6",""
"192.169.100.104","A4:A9:30:79:3C:E6",""
"192.169.100.110","44:07:0B:D7:85:1C","Google"
"192.169.100.174","AE:E0:9E:52:B3:9F",""
"192.169.100.204","F0:9F:C2:D6:17:EE","Ubiquiti Networks"
"192.169.100.41","",""
